(-13.9109,1160.23)
(-13.9891,1160.15)
(-14.0672,1160.08)
(-14.1454,1160)
(-14.2235,1159.92)
(-14.3017,1159.84)
(-14.3798,1159.76)
(-14.458,1159.68)
(-14.5361,1159.61)
(-14.6143,1159.53)
(-14.6924,1159.45)
(-14.7706,1159.37)
(-14.8487,1159.29)
(-14.9269,1159.22)
(-15.005,1159.14)
(-15.0832,1159.06)
(-15.1613,1158.98)
(-15.2395,1158.9)
(-15.3176,1158.83)
(-15.3958,1158.75)
(-15.4739,1158.67)
(-15.5521,1158.59)
(-15.6302,1158.51)
(-15.7084,1158.43)
(-15.7865,1158.36)
(-15.8647,1158.28)
(-15.9428,1158.2)
(-16.021,1158.12)
(-16.0991,1158.04)
(-16.1773,1157.97)
(-16.2554,1157.89)
(-16.3336,1157.81)
(-16.4117,1157.73)
(-16.4899,1157.65)
(-16.568,1157.57)
(-16.6462,1157.5)
(-16.7243,1157.42)
(-16.8025,1157.34)
(-16.8806,1157.26)
(-16.9588,1157.18)
(-17.037,1157.11)
(-17.1151,1157.03)
(-17.1933,1156.95)
(-17.2714,1156.87)
(-17.3496,1156.79)
(-17.4277,1156.72)
(-17.5059,1156.64)
(-17.584,1156.56)
(-17.6622,1156.48)
(-17.7403,1156.4)
(-17.8185,1156.32)
(-17.8966,1156.25)
(-17.9748,1156.17)
(-18.0529,1156.09)
(-18.1311,1156.01)
(-18.2092,1155.93)
(-18.2874,1155.86)
(-18.3655,1155.78)
(-18.4437,1155.7)
(-18.5218,1155.62)
(-18.6,1155.54)
(-18.6781,1155.46)
(-18.7563,1155.39)
(-18.8344,1155.31)
(-18.9126,1155.23)
(-18.9907,1155.15)
(-19.0689,1155.07)
(-19.147,1155)
(-19.2252,1154.92)
(-19.3033,1154.84)
(-19.3815,1154.76)
(-19.4596,1154.68)
(-19.5378,1154.61)
(-19.6159,1154.53)
(-19.6941,1154.45)
(-19.7722,1154.37)
(-19.8504,1154.29)
(-19.9285,1154.21)
(-20.0067,1154.14)
(-20.0848,1154.06)
(-20.163,1153.98)
(-20.2411,1153.9)
(-20.3193,1153.82)
(-20.3975,1153.75)
(-20.4756,1153.67)
(-20.5538,1153.59)
(-20.6319,1153.51)
(-20.7101,1153.43)
(-20.7882,1153.35)
(-20.8664,1153.28)
(-20.9445,1153.2)
(-21.0227,1153.12)
(-21.1008,1153.04)
(-21.179,1152.96)
(-21.2571,1152.89)
(-21.3353,1152.81)
(-21.4134,1152.73)
(-21.4916,1152.65)
(-21.5697,1152.57)
(-21.6479,1152.5)
(-21.726,1152.42)
(-21.8042,1152.34)
(-21.8823,1152.26)
(-21.9605,1152.18)
(-22.0386,1152.1)
(-22.1168,1152.03)
(-22.1949,1151.95)
(-22.2731,1151.87)
(-22.3512,1151.79)
(-22.4294,1151.71)
(-22.5075,1151.64)
(-22.5857,1151.56)
(-22.6638,1151.48)
(-22.742,1151.4)
(-22.8201,1151.32)
(-22.8983,1151.24)
(-22.9764,1151.17)
(-23.0546,1151.09)
(-23.1327,1151.01)
(-23.2109,1150.93)
(-23.289,1150.85)
(-23.3672,1150.78)
(-23.4453,1150.7)
(-23.5235,1150.62)
(-23.6016,1150.54)
(-23.6798,1150.46)
(-23.7579,1150.38)
(-23.8361,1150.31)
(-23.9143,1150.23)
(-23.9924,1150.15)
(-24.0706,1150.07)
(-24.1487,1149.99)
(-24.2269,1149.92)
(-24.305,1149.84)
(-24.3832,1149.76)
(-24.4613,1149.68)
(-24.5395,1149.6)
(-24.6176,1149.53)
(-24.6958,1149.45)
(-24.7739,1149.37)
(-24.8521,1149.29)
(-24.9302,1149.21)
